??代?,??名,MA中?????,市配,市配/??,外埠,外埠/??,自提,自提/??,同步到系?,同步/市配,未分配,未分配/同步到系?,已分配未?到,未?到/同步到系?,??登?,已?到/同步到系?,??完成,??完成/同步到系?,已??,已??/同步到系?,配送完成,完成/同步到系?
101011,上海桃浦,1182,959,81.13%,158,13.37%,65,5.50%,943,98.33%,6,0.64%,18,1.91%,2,0.21%,0,0%,105,11.13%,812,86.11%
101012,上海黃渡,1347,874,64.88%,428,31.77%,45,3.34%,823,94.16%,1,0.12%,18,2.19%,2,0.24%,0,0%,95,11.54%,707,85.91%
101013,上海資生堂,578,0,0%,578,100%,0,0%,55,0%,0,0%,0,0%,0,0%,0,0%,0,0%,55,100%
102011,南京,365,359,98.36%,2,0.55%,4,1.10%,534,148.75%,26,4.87%,27,5.06%,6,1.12%,2,0.37%,45,8.43%,428,80.15%
102021,蘇州,247,238,96.36%,8,3.24%,1,0.40%,297,124.79%,5,1.68%,1,0.34%,2,0.67%,0,0%,5,1.68%,284,95.62%
102031,無錫,278,212,76.26%,64,23.02%,2,0.72%,372,175.47%,7,1.88%,24,6.45%,3,0.81%,0,0%,219,58.87%,119,31.99%
102051,徐州,101,86,85.15%,15,14.85%,0,0%,53,61.63%,0,0%,0,0%,0,0%,0,0%,0,0%,53,100%
102061,南通,115,71,61.74%,44,38.26%,0,0%,95,133.80%,1,1.05%,0,0%,1,1.05%,0,0%,2,2.11%,91,95.79%
102071,楊州,134,80,59.70%,54,40.30%,0,0%,143,178.75%,1,0.70%,2,1.40%,0,0%,0,0%,0,0%,140,97.90%
103011,杭州,484,346,71.49%,128,26.45%,10,2.07%,374,108.09%,43,11.50%,116,31.02%,2,0.53%,5,1.34%,20,5.35%,188,50.27%
103021,寧波,228,196,85.96%,31,13.60%,1,0.44%,175,89.29%,2,1.14%,0,0%,0,0%,0,0%,0,0%,173,98.86%
103031,溫州,151,86,56.95%,62,41.06%,3,1.99%,42,48.84%,0,0%,0,0%,0,0%,0,0%,1,2.38%,41,97.62%
